Id,Тип,Формула,Название,Класс
1,Мономер,C6H12,4-Метилпентен-1,Алкены
2,Мономер,C7H10,Норборнен,Бициклоалкены
3,Мономер,C3H6O,Пропаналь,Альдегиды
4,Мономер,C4H8O,Бутаналь,Альдегиды
5,Мономер,C5H10O,Пентаналь,Альдегиды
6,Мономер,C6H12O,Гексаналь,Альдегиды
7,Мономер,C7H14O,Гептаналь,Альдегиды
8,Мономер,C2HCl3O,Трихлорэтаналь,Альдегиды
9,Мономер,C4H4O4,Этиленоксалат,Циклические эфиры
10,Мономер,C4H4O4,Гликолид,Циклические эфиры
11,Мономер,C17H14O2N2,2.2-бис-(4-цианатофенил)-пропан,Цианаты
12,Мономер,C5H10,транс-Пентен-2,Алкены
13,Мономер,C14H34Cl2N2Si2Zn,Мономерный комплекс n-(β-триметилсилилэтил)-этиленимина с хлористым цинком,Комплексы иминов (с хлористым цинком)
14,Мономер,C16H38Cl2N2Si2Zn,Мономерный комплекс n-(β-триметилсилилэтил)-триметиленимина с хлористым цинком,Комплексы иминов (с хлористым цинком)
15,Мономер,C15H10O2N2,4.4-Дифенилметандиизоцианат,Изоцианаты
16,Мономер,C4H6N2O2,2.5-Дикетопиперазин,Циклические амиды
17,Мономер,C5H10,Циклопентан,Циклоалканы
18,Мономер,C4H2O,Этаналь,Альдегиды
19,Мономер,C6H12,Циклогексан,Циклоалканы
20,Мономер,C7H14,Циклогептан,Циклоалканы
21,Мономер,C8H16,Циклооктан,Циклоалканы
22,Мономер,C6H8O4,dl-Лактид,Циклические эфиры
23,Мономер,CH2O,Метаналь,Альдегиды
24,Мономер,C4H6O2,γ-Бутиролактон,Лактоны
25,Мономер,C3H4O2,β-Пропиолактон,Лактоны
26,Мономер,C6H10O2,е-Капролактон,Лактоны
27,Мономер,C5H8O2,б-Валеролактон,Лактоны
28,Мономер,C11H20O2,Ундеканолактон,Лактоны
29,Мономер,C13H24O2,Тридеканолактон,Лактоны
30,Мономер,C15H28O2,Пентадеканолактон,Лактоны
31,Мономер,C6H10,Циклогексен,Циклоалкены
32,Мономер,C7H12,цис-Циклогептен,Циклоалкены
33,Мономер,C7H12,4-Метилциклогексен,Циклоалкены
34,Мономер,C8H14,2.4-Диметилциклогексен-1,Циклоалкены
35,Мономер,C5H8,Циклопентен,Циклоалкены
36,Мономер,C6H7O2N,Этил-α-цианакрилат,Цианакрилаты
37,Мономер,C7H7O2N,Аллил-α-цианакрилат,Цианакрилаты
38,Мономер,C9H11O3N,Аллилоксиэтил-α-цианакрилат,Цианакрилаты
39,Мономер,C14H23O2N,н-Децил-α-цианакрилат,Цианакрилаты
40,Мономер,C5H12Si,Винилтриметилсилан,Винилорганосиланы
41,Мономер,C10H14Si,Винилдиметилфенилсилан,Винилорганосиланы
42,Мономер,C11H16Si,Винилбензилдиметилсилан,Винилорганосиланы
43,Мономер,C4H6,Бутадиен-1.3,Алкадиены
44,Мономер,C8H12,Циклооктадиен-1.5,Циклодиены
45,Мономер,C4H8O,Тетрагидрофуран,Циклические эфиры
46,Мономер,C6H12,цис-4-Метилпентен-2,Алкены
47,Мономер,C2HBrCl2O,Бромдихлорэтаналь,Альдегиды
48,Мономер,C2HBrF2O,Бромдифторэтаналь,Альдегиды
49,Мономер,C2HBr2ClO,Дибромхлорэтаналь,Альдегиды
50,Мономер,C2HBr2FO,Дибромфторэтаналь,Альдегиды
51,Мономер,C2HBr3O,Трибромэтаналь,Альдегиды
52,Мономер,C2HClF2O,Дифторхлорэтаналь,Альдегиды
53,Мономер,C2HCl2FO,Фтордихлорэтаналь,Альдегиды
54,Мономер,C2HF3O,Трифторэтаналь,Альдегиды
55,Мономер,C3H4Cl2O,2.2-Дихлорпропаналь,Альдегиды
56,Мономер,C4H7ClO,"2-Метил,2-хлорпропаналь",Альдегиды
57,Мономер,C4H8O,2-Метилпропаналь,Альдегиды
58,Мономер,C4H8O2,3-Метилоксипропаналь,Альдегиды
59,Мономер,C16H12Si,Дифенилдиэтинилсилан,Органосиланы
60,Мономер,C8D14O2,н-Дейтеробутилметакрилат,Акрилаты
61,Мономер,C6H12,Гексен-1,Алкены
62,Мономер,C4H6O3,пара-Диоксанон,Оксолактоны
63,Полимер,[-C8H8O-],"Поли-(2,6-диметил-n-фенилен)-оксид",Полиэфиры
64,Полимер,[-C3H6O-],Полипропаналь,Полиальдегиды
65,Полимер,[-C4H8O-],Полибутаналь,Полиальдегиды
66,Полимер,[-C6H12-],Поли-4-метилпентен-1,Полиалкены
67,Полимер,[-C5H10O-],Полипентаналь,Полиальдегиды
68,Полимер,[-C6H12O-],Полигексаналь,Полиальдегиды
69,Полимер,[-C7H14O-],Полигептаналь,Полиальдегиды
70,Полимер,[-C2HCl3O-],Политрихлорэтаналь,Полиальдегиды
71,Полимер,[-O-CH2-CH2-O-CO-CO-],Полиэтиленоксалат,Полиэфиры
72,Полимер,[-O-CH2-CO-O-CH2-CO-],Полигликолид,Полиэфиры
73,Полимер,[-C14H34Cl2N2Si2Zn-],Полимерный комплекс n-(β-триметилсилилэтил)-этиленимина с хлористым цинком,Комплексы полииминов (с хлористым цинком)
74,Полимер,[-C16H38Cl2N2Si2Zn-],Полимерный комплекс n-(β-триметилсилилэтил)-триметиленимина с хлористым цинком,Комплексы полииминов (с хлористым цинком)
75,Полимер,[-C45H30O6N6-],Полиизоцианурат на основе 4.4-дифенилметандиизоцианата,Полиизоцианураты
76,Полимер,[-C24H12N6-],Поли-2.4.6-фенилен-симм-триазин,Политриазины
77,Полимер,[-C51H42O6N6-],Полицианурат,Полицианураты
78,Полимер,[-C7H14-],Полигептен-1,Полиалкены
79,Полимер,[-C5H8O2-],Поли-б-валеролактон,Полилактоны
80,Полимер,[-C8H16-],Полиоктен-1,Полиалкены
81,Полимер,[-C6H8O4-],Полилактид,Полиэфиры
82,Полимер,[-C2H4O-],Полиэтаналь(изотактический),Полиальдегиды
83,Полимер,[-C6H10O2-],Поли-е-капролактон,Полилактоны
84,Полимер,[-C4H6O2-],Поли-γ-бутиролактон,Полилактоны
85,Полимер,[-CH2O-],Полиметаналь,Полиальдегиды
86,Полимер,[-C11H20O2-],Полиундеканолактон,Полилактоны
87,Полимер,[-C13H24O2-],Политридеканолактон,Полилактоны
88,Полимер,[-C15H28O2-],Полипентадеканолактон,Полилактоны
89,Полимер,[-C4H6-],транс-1.4-Полибутадиен,Полиалкеномеры
90,Полимер,[-C7H12-],Полигептеномер,Полиалкеномеры
91,Полимер,[-C7H12-],Поли-4-метилгексеномер,Полиалкеномеры
92,Полимер,[-C8H14-],транс-Изопренпропиленовый сополимер,Полиалкены сополимер
93,Полимер,[-C8H14-],цис-Изопренпропиленовый сополимер,Полиалкены сополимер
94,Полимер,[-C5H8-],транс-Полипентеномер,Полиалкеномеры
95,Полимер,[-C6H7O2N-],Полиэтил-α-цианакрилат,Полицианакрилаты
96,Полимер,[-C7H7O2N-],Полиаллил-α-цианакрилат,Полицианакрилаты
97,Полимер,[-C9H11O3N-],Полиаллилоксиэтил-α-цианакрилат,Полицианакрилаты
98,Полимер,[-C14H23O2N-],Поли-н-децил-α-цианакрилат,Полицианакрилаты
99,Полимер,[-C5H12Si-],Поливинилтриметилсилан,Поливинилорганосиланы
100,Полимер,[-C10H14Si-],Поливинилдиметилфенилсилан,Поливинилорганосиланы
101,Полимер,[-C4H8O-],Политетрагидрофуран,Полиэфиры
102,Полимер,[-C2HBrCl2O-],Полибромдихлорэтаналь,Полиальдегиды
103,Полимер,[-C2HBrF2O-],Полибромдифторэтаналь,Полиальдегиды
104,Полимер,[-C2HBr2ClO-],Полидибромхлорэтаналь,Полиальдегиды
105,Полимер,[-C2HBr2FO-],Полидибромфторэтаналь,Полиальдегиды
106,Полимер,[-C2HBr3O-],Политрибромэтаналь,Полиальдегиды
107,Полимер,[-C2HClF2O-],Полидифторхлорэтаналь,Полиальдегиды
108,Полимер,[-C2HCl2FO-],Полифтордихлорэтаналь,Полиальдегиды
109,Полимер,[-C2HF3O-],Политрифторэтаналь,Полиальдегиды
110,Полимер,[-C3H4Cl2O-],Полидихлорпропаналь,Полиальдегиды
111,Полимер,[-C4H7ClO-],Полиметилхлорпропаналь,Полиальдегиды
112,Полимер,[-C4H8O-],Полиметилпропаналь,Полиальдегиды
113,Полимер,[-C4H8O2-],Полиметилоксипропаналь,Полиальдегиды
114,Полимер,[-C16H10Si-],Полидифенилдиэтинилсилан,Полиорганосиланы
115,Полимер,[-C8H14O2-],Поли-н-бутилметакрилат,Полиакрилаты
116,Полимер,[-C8D14O2-],Поли-н-дейтеробутилметакрилат,Полиакрилаты
117,Полимер,[-C4H6O3-],Поли-пара-диоксанон,Полиэфиры
118,Полимер,[-C6H12-],Полигексен-1,Полиалкены
119,Полимер,[-C28H24 Ge2-],Поливинилендифенилгерман,Полиорганогерманы
120,Полимер,C28H24GeSi,Поливинилендифенилсилангерман,Полиорганосилангерманы
121,Мономер,C2H3Cl1,Винилхлорид,Виниловые и родственные
122,Полимер,C2H3Cl1,Поливинилхлорид,Виниловые и родственные
123,Полимер,C3H4O2,Поли-β-пропиолактон,Полилактоны
124,Полимер,C4H6N2O2,Полиглицин,Полиамиды
125,Полимер,C11H16Si1,Поливинилбензилдиметилсилан,Поливинилорганосиланы
126,Полимер,C24H36O6N6,Поли-2.4.6-(гексаметилен)изоцианурат,Полиизоцианаты
127,Полимер,C6H19Si1N1,Поли-n-(β-триметилсилилэтил)-триметиленимин,Полиимины
128,Полимер,C7H17Si1N1,Поли-n-(β-триметилсилилэтил)-этиленимин,Полиимины
129,Полимер,C2H5N1,Полиэтиленимин,Полиимины
130,Мономер,C7H5O1N1,Фенилцианат,Цианаты
131,Полимер,C21H15O3N3,Трифенилцианурат,Цианураты
132,Полимер,C21H15N3,1.3.5-Трифенил-симм-триазин,Циклотримеры
133,Мономер,C7H5N1,Бензонитрил,Нитрилы
134,Мономер,C7H5NO,Фенилизоцианат,Изоцианаты
135,Мономер,C13H10N2,Дифенилкарбодиимид,Карбодиимиды
136,Мономер,C8H6,Фенилацетилен,Ацетилены
137,Полимер,C23H17N1,2.4.6-Трифенилпиридин,Пиридины
138,Полимер,C39H30N6,Гексафенилмеламин,Меламины
139,Мономер,C16H12Ge1,Дифенилдиэтинилгерман,Органогерманы
140,Полимер,C16H10Ge1,Полидифенилдиэтинилгерман,Полиорганогерманы
141,Мономер,C32H22Ge1,2.3.4.5-Тетрафенил-1.1-диэтинил-1-гермациклопентадиен,Гермаацетилены
142,Полимер,C32H20Ge1,Поли-2.3.4.5-тетрафенил-1.1-диэтинил-1-гермациклопентадиен,Полигермаацетилены
143,Мономер,C18H16O2Si1,Дианизилдиэтинилсилан,Органосиланы
144,Полимер,C18H14O2Si1,Полидианизилдиэтинилсилан,Полиорганосиланы
145,Полимер,C4H8,Полибутен-1 (изотактический),Полиалкены
146,Мономер,C4H8,цис-Бутен-2,Алкены
147,Полимер,C3H6,Полипропилен,Полиалкены
148,Мономер,C5H10,Пентен-1,Алкены
149,Полимер,C5H10,Полипентен-1,Полиалкены
150,Мономер,C5H10,цис-Пентен-2,Алкены
151,Мономер,C4H8,транс-Бутен-2,Алкены
152,Мономер,C6H12,транс-4-Метилпентен-2,Алкены
153,Мономер,C4H8,Бутен-1,Алкены
154,Мономер,C7H14,Гептен-1,Алкены
155,Мономер,C8H16,Октен-1,Алкены
156,Мономер,C6H18Si3O3,1.1.3.3.5.5-Гексаметилциклотрисилоксан,Циклосилоксаны
157,Полимер,C2H6SiO,Полидиметилсилоксан,Полисилоксаны
158,Мономер,C8H24Si4O4,1.1.3.3.5.5.7.7-Октаметилциклотетрасилоксан,Циклосилоксаны
159,Мономер,C12H30Si3O3,1.1.3.3.5.5-Гексаэтилциклотрисилоксан,Циклосилоксаны
160,Полимер,C4H10Si1O1,Полидиэтилсилоксан,Полисилоксаны
161,Олигомер,C24H18,1.3.5-Трифенилбензол,Бензолы
162,Олигомер,C21H15N3O3,Трифенилизоцианурат,Изоцианураты
163,Олигомер,C39H30N6,Гексафенилизомеламин,Изомеламины
164,Мономер,C2F4,Тетрафторэтилен,Виниловые и родственные
165,Полимер,C2F4,Политетрафторэтилен,Виниловые и родственные
166,Мономер,C3H6,Пропилен,Алкены
167,Мономер,C22H34O4N2,1.4-бис-(2.2.6.6-тетраметил-4-окси-1-оксилпипередил)бутадиин,Диацетилены
168,Полимер,C22H34O4N2,Поли-1.4-бис-(2.2.4.4-тетраметил-4-окси-1-оксилпиперидил)бутатриен,Полиены
169,Мономер,C2H2Cl2,Винилиденхлорид,Виниловые и родственные
170,Полимер,C2H2Cl2,Поливинилиденхлорид,Виниловые и родственные
171,Мономер,C8H14,Винилциклогексан,Виниловые и родственные
172,Мономер,C8H8,Циклооктатетраен,Циклотетраены
173,Мономер,C70,Фуллерен С70,Фуллерен
174,Полимер,C2H2,цис-Полиацетилен,Полиены
175,Полимер,C2H2,транс-Полиацетилен,Полиены
176,Полимер,C9H12O2,"Полибицикло[2,2,1]-гепт-2-ен-5-ацетат",Полинорборнены
177,Мономер,C60,Фуллерен С60,Фуллерен
178,Мономер,C9H12O2,Бицикло[2.2.1]гептен-2,Циклоалкены
179,Полимер,C12H10Si1O1,Полидифенилсилоксан,Полисилоксаны
180,Полимер,C16D8H8,Сополимер стирола с дейтеростиролом (1:1),Виниловые и родственные
181,Полимер,C2H4O1,Полиэтаналь(атактический),Полиальдегиды
182,Полимер,C8D3H5,Полидейтеростирол (дейтерированный в цепочке),Виниловые и родственные
183,Полимер,C8D5H3,Полидейтеростиролл(дейтерированный в ядре),Виниловые и родственные
184,Мономер,C8D8,Дейтеростирол,Виниловые и родственные
185,Мономер,C3H6,Циклопропан,Циклоалканы
186,Полимер,C5H9O2N1,Циклический уретан1,Полиуретан
187,Полимер,C8D8,Полидейтеростирол,Виниловые и родственные
188,Мономер,C4H8,Циклобутан,Циклоалканы
189,Полимер,C6H12Si1,Поли-[1-триметилсилил-1-пропин],Полиены
190,Мономер,C8H8,Стирол,Виниловые и родственные
191,Полимер,C8H8,Полистирол,Виниловые и родственные
192,Полимер,C9H10,Поли-α-метилстирол,Виниловые и родственные
193,Мономер,C9H10,α-Метилстирол,Виниловые и родственные
194,Мономер,C8H4N2,1.4-Дицианобензол,Нитрилы
195,Мономер,C3H4O2,Акриловая кислота,Виниловые и родственные
196,Полимер,C3H4O2,Полиакриловая кислота,Виниловые и родственные
197,Полимер,C7H14Si1,Полиметилдиаллилсилан,Полиены
198,Мономер,C7H14Si1,Диаллилметилсилан,Органосиланы
199,Мономер,H2,Диводород,Неорганические соединения
200,Полимер,C4H6,цис-1.4-Полибутадиен,Полиалкеномеры
201,Мономер,C8H14O2,н-Бутилметакрилат,Акрилаты
202,Мономер,C4H6,Циклобутен,Циклоалкены
203,Мономер,C12H12Ge,Дифенилгерман,Органогерманы
204,Мономер,C2H4,Этилен,Алкены
205,Полимер,C1H2,Полиэтилен,Полиалкены
206,Полимер,C6H10,Полигексеномер,Полиалкеномеры
207,Полимер,C5H8,цис-Полипентеномер,Полиалкеномеры
208,Мономер,C3H3O1,Пропилакрилат,Акрилаты
209,Полимер,C8H14,Поливинилциклогексан,Виниловые и родственные
210,Мономер,C10H18Si,5-Триметилсилилнорборнен-2,Норборнены
211,Полимер,[-C10H18Si-],Поли-5-триметилсилилнорборнен-2,Норборнены
212,Мономер,C6H10,Циклогексен,Циклоалкены
213,Мономер,C4H8,Бутен-1,Алкены
214,Мономер,C4H8,цис-Бутен-2,Алкены
215,Мономер,C4H8,транс-Бутен-2,Алкены
216,Полимер,C4H6,транс-1.4-Полибутадиен,Полиалкеномеры
217,Мономер,C4H6,Бутадиен-1.3,Алкадиены
218,Полимер,C7H12,Поли-4-метилгексеномер,Полиалкеномеры
219,Мономер,C48H40Si8O12,Октафенилгексациклооктасилоксан(кубический октамер),Силоксаны
220,Мономер,C5H13Si1N1,Триметилсилилэтинилимин,Имины
221,Мономер,C5H13Si1N1,Тириметилсилилэтинилимин,Имины
222,Полимер,C7H14Si1,Полиаллилвинилдиметилсилан,Полисиланы
223,Полимер,C13H12O4N2P1Na1,ПАК-ПФ-ДП,Интерполимерные комплексы
224,Полимер,C8H8,Полистирол (синдиотактический),Виниловые и родственные
225,Мономер,C60H36,Гидрид фуллерена C60,Фуллерен
226,Полимер,C4H6O,Сополимер монооксида углерода с пропиленом,Сополимеры СО с алкенами
227,Полимер,C4H6O,Сополимер монооксида углерода с пропиленом (1),Сополимеры СО с алкенами
228,Мономер,C1O1,Монооксид углерода  II (СО),Оксиды
229,Полимер,P1O3Na1,Полифосфат натрия,Полифосфаты
230,Полимер,C13H12O5N2P1Na1,ПАК-ПФ-ДП,Интерполимерные комплексы
231,неизвестно,C10H8N2,"4,4' - Дипиридил",Гетероциклы
232,Полимер,C3H4N1O2,Полициклодиметиленуретан,Полиуретан
233,Мономер,C3H4N1O2,Пятичленный уретан,Уретаны
234,Полимер,C2H2,транс-Полиацетилен,Полиены
235,Мономер,C12H10,Дифенил,Бензолы
236,Мономер,C36H30Si3O3,Гексафенилциклогексасилоксан,Циклосилоксаны
237,Мономер,C48H40Si4O4,Октафенилциклотетрасилоксан,Циклосилоксаны
238,Полимер,C8H5Au1,Фенилацетиленид золота,Координационные
239,Полимер,C12H10Si1O1,Полидифенилсилоксан,Полисилоксаны
240,Мономер,C24H20P1Cl1O4,тетрафенилфосфониумперхлорат,перхлораты
241,Мономер,C24H20As1Cl1O4,Тетрафениларсениумперхлорат,Перхлораты
242,Полимер,C8H13Cu1,Гексилацетиленид меди,Координационный полимер
243,Мономер,Na1Zr2P3O12,Натрийцирконийфосфат,Фосфаты
244,Полимер,C16H10Hg1,Дифенилацетилинид ртути,Координационные
245,Мономер,C5Y5H1N1,Пятичленный уретан,Уретаны
246,Мономер,C20H30Si2N2ZnCl2,(диметилфенилсилил)этиленимин-ZnCI2,Имины
247,Мономер,C10H26Si2N2ZnCl2,(триметилсилил)этиленимин-ZnCl2,Имины
248,Мономер,C16H38Si2N2ZnCl2,(триэтилсилил)этиленимин ZnCl2,Имины
249,Полимер,C6H12Si1,Полидиметилсилациклопентен,Полиорганосиланы
250,Мономер,C6H12Si1,Диметилсилациклопентен,Полиорганосиланы
251,Полимер,C60,Тетрагональный фуллетит,Фуллериты
252,Полимер,C60,Орторомбический фуллерит,Фуллериты
253,Полимер,C4H4O4,Полигликолид,Полиэфиры
254,Полимер,C6H12,Поли-4-метилпентен-1,Полиалкены
255,Полимер,C8H14,транс-Изопренпропиленовый сополимер,Полиалкены сополимер
256,Полимер,C5H8,транс-Полипентеномер,Полиалкеномеры
257,Полимер,C5H5,транс-Полипентеномер,Полиалкеномеры
258,Мономер,C10H18O9N2,дикарбоновые кислоты,кислоты
259,Полимер,[-C7H12-],Полигептеномер,Полиалкеномеры
260,Полимер,C7H14Si1,полидиаллилметилсилан,полимер
261,Полимер,c12,G-1 (Und- Me),дендримеры
262,неизвестно,C4H3Cl3,"Поли-1,2,3-трихлорбутадиен",Полибутадиены
263,Мономер,C5H9N1O2,цикло(метилтриметиленуретан),Уретаны
264,Полимер,C5H9N1O2,поли(метилтриметиленуретан),Полиуретан
265,Полимер,C9H8O1,Сополимер СО со стиролом,Сополимеры СО с алкенами
266,Полимер,"C5,5H10Si1",Фуллеренсодержащий поли(силдиметил)триметилен,Фуллериты
267,Полимер,C100,G-2(Und-MPhB),дендримеры
268,Мономер,C12H8O2,Диоксин,Диоксины
269,Мономер,C12H8O2Cl,Хлордиоксин,Диоксины
270,Мономер,C10Si1N1H15,Диметилфенилсилилэтиленимин,Имины
271,Полимер,с,Лактоглобулин,биополимер
272,Полимер,с,Альбумин,биополимер
273,Полимер,с,Миоглобин,биополимер
274,Полимер,c1,Триптофан,биополимер
275,Мономер,C12H8O2,Диоксин,Диоксины
276,Мономер,C12H8O2Cl,Хлордиоксин,Диоксины
277,Полимер,C11O3H8Cr1,Политрикарбонилхрома,Виниловые и родственные
278,Полимер,C8H8,Полистирол (синдиотактический),Виниловые и родственные
279,Полимер,C8H8,Изотактический полистирол,Виниловые и родственные
280,Полимер,C8H8,Полистирол (синдиотактический),Виниловые и родственные
281,Полимер,C8H8,Изотактический полистирол,Виниловые и родственные
282,Полимер,C8H8,Полистирол (синдиотактический),Виниловые и родственные
283,Полимер,C8H8,Полистирол,Виниловые и родственные
284,Полимер,C9H12O2,"Полибицикло[2,2,1]-гепт-2-ен-5-ацетат",Полинорборнены
285,Полимер,C1,метатезисный полинорборнен,Полинорборнены
286,Полимер,C2,fаддитивный полинорборнен,Полинорборнены
287,Полимер,C3,метатезисный полидициклопентадиен,Полинорборнены
288,Полимер,C4,аддитивный полинорборнен,Полинорборнены
289,Полимер,CH0.84Cl0.07O0.28,Альфа-карбин (Л-178),Карбиноидная структура
290,Полимер,C1H0.83Cl0.05O0.23,"Вета-карбин, Л-181",Карбиноидная структура
291,Полимер,C16H10Hg1,Дифенилацетилинид ртути,Координационные
292,Полимер,C8H5Cu,Фенилацетиленид меди,Координационные
